dataset,family,reranker,n_users,n_candidates,k,cpu_train,wall_train,cpu_rerank_setup,wall_rerank_setup,cpu_retrieve_score,wall_retrieve_score,cpu_retrieve_select,wall_retrieve_select,cpu_rerank,wall_rerank,cpu_once,cpu_per_request,ndcg,ndcg_vs_retrieval,recall,exposure_parity,catalogue_coverage,gini,candidate_hit_rate,note.seed,note.lam,note.mu,repeat,status,error,below_quantum,n_items,n_train_users,density,trustworthy,busy_pct_at_start,intra_list_similarity,note.n_candidates_requested,note.n_candidates_capped_by
ml100k,popularity,quota_mmr,200,100,10,0.0001560159760359,0.309676999999283,0.0859375,0.351322299999083,0.0120192307692307,0.3078958999994938,0.0082236842105263,0.3102522999997745,0.2265625,0.4531609999994543,0.0860935159760359,0.0012340270748987,0.0320268279401648,0.9015389185654296,0.07,0.2634999999999999,0.0652335063009636,0.9824255003706448,0.305,1,0.3,1.0,1,ok,,,1349,943,0.0773079623019132,True,0.7,0.346902387065701,,
ml100k,popularity,quota_mmr,200,200,10,0.0001588713777325,0.3075334000004659,0.0859375,0.3518167999991419,0.0120192307692307,0.3052213000009942,0.009765625,0.3210795000013604,0.5,0.4949440000000322,0.0860963713777325,0.0026089242788461,0.0344687751150091,0.8896607804713196,0.075,0.254,0.0770941438102298,0.980452928094885,0.45,1,0.3,1.0,1,ok,,,1349,943,0.0773079623019132,True,0.7,0.3350398337427952,,
ml100k,popularity,quota_mmr,200,400,10,0.0001627604166666,0.299706599998899,0.0859375,0.352971799999068,0.0120192307692307,0.3092938000008871,0.0135869565217391,0.3079153999988193,1.328125,1.337769699999626,0.0861002604166666,0.0067686559364548,0.0337737045054619,0.8637015239479947,0.07,0.2535,0.1030392883617494,0.9755352112676056,0.665,1,0.3,1.0,1,ok,,,1349,943,0.0773079623019132,True,0.7,0.3094411719548967,,
ml100k,popularity,quota_mmr,200,800,10,0.0001627604166666,0.3002704999998968,0.0859375,0.3597006999989389,0.0120192307692307,0.3125455999997939,0.0183823529411764,0.3186507999998866,3.015625,3.017569800000274,0.0861002604166666,0.015230132918552,0.0239851753572363,0.7908742149645122,0.045,0.256,0.1704966641957005,0.9558228317272054,0.835,1,0.3,1.0,1,ok,,,1349,943,0.0773079623019132,True,0.7,0.2406111334168709,800.0,user history in a small catalogue
ml100k,itemknn,none,200,50,10,0.1875,0.3856674999988172,0.0,0.0,0.0298295454545454,0.322565399999803,0.0069444444444444,0.3039542000005895,0.0,0.0,0.1875,0.0001838699494949,0.0371478685516871,1.0,0.065,1.14,0.0971089696071163,0.9589933283914012,0.245,1,0.3,1.0,1,ok,,,1349,943,0.0773079623019132,True,0.7,,,
ml100k,itemknn,none,200,100,10,0.1953125,0.3874012999986007,0.0,0.0,0.02734375,0.3231729999988602,0.0076219512195121,0.3111929999995482,0.0,0.0,0.1953125,0.0001748285060975,0.0371478685516871,1.0,0.065,1.1425,0.0971089696071163,0.9589933283914012,0.355,1,0.3,1.0,1,ok,,,1349,943,0.0773079623019132,True,0.7,,,
ml100k,itemknn,none,200,200,10,0.203125,0.413217799999984,0.0,0.0,0.02734375,0.3211762999999337,0.0094696969696969,0.3169104000007792,0.0,0.0,0.203125,0.0001840672348484,0.0371478685516871,1.0,0.065,1.1425,0.0971089696071163,0.9589933283914012,0.57,1,0.3,1.0,1,ok,,,1349,943,0.0773079623019132,True,0.7,,,
ml100k,itemknn,none,200,400,10,0.1875,0.3833363000012468,0.0,0.0,0.02734375,0.3231756000004679,0.0142045454545454,0.3152591999987635,0.0,0.0,0.1875,0.0002077414772727,0.0371478685516871,1.0,0.065,1.1425,0.0971089696071163,0.9589933283914012,0.78,1,0.3,1.0,1,ok,,,1349,943,0.0773079623019132,True,0.7,,,
ml100k,itemknn,none,200,800,10,0.1953125,0.3862045000005309,0.0,0.0,0.0260416666666666,0.3218753000001015,0.0183823529411764,0.3013138999995135,0.0,0.0,0.1953125,0.0002221200980392,0.0371478685516871,1.0,0.065,1.1425,0.0971089696071163,0.9589933283914012,0.88,1,0.3,1.0,1,ok,,,1349,943,0.0773079623019132,True,0.7,,800.0,user history in a small catalogue
ml100k,itemknn,quota_mmr,200,50,10,0.1875,0.3816481000012572,0.09375,0.3726124000004347,0.02734375,0.3184881999986828,0.0067934782608695,0.3134551999992254,0.1041666666666666,0.3172314999992522,0.28125,0.0006915194746376,0.0467771679611553,0.9157068114947012,0.09,0.24,0.1067457375833951,0.9566701260192736,0.245,1,0.3,1.0,1,ok,,,1349,943,0.0773079623019132,True,0.7,0.3966840324583101,,
