stage,label,wall_seconds,cpu_seconds,cpu_user_seconds,cpu_system_seconds,cpu_utilisation,peak_rss_bytes,repeats,cpu_seconds_each,meta.catalogue,meta.repeat,meta.meter,dataset,family,reranker,repeat
retrieve_score,als,0.3070675000017218,0.3125,0.25,0.0625,1.0176915498978163,322273280,43,0.0072674418604651,ml100k,0,,ml100k,als,qubo_tabu,0
retrieve_select,als,0.3094624000004842,0.3125,0.21875,0.09375,1.0098157320550447,322273280,61,0.0051229508196721,ml100k,0,,ml100k,als,qubo_tabu,0
rerank,als,24.379163400000834,24.234375,24.234375,0.0,0.99406097749848,322273280,1,24.234375,ml100k,0,,ml100k,als,qubo_tabu,0
train,popularity,0.3059479999974428,0.3125,0.296875,0.015625,1.0214154039333871,322273280,1954,0.0001599283520982,ml100k,1,,ml100k,popularity,none,1
retrieve_score,popularity,0.3146626999987347,0.3125,0.28125,0.03125,0.9931269260743536,322273280,53,0.0058962264150943,ml100k,1,,ml100k,popularity,none,1
retrieve_select,popularity,0.3097863999973924,0.3125,0.21875,0.09375,1.0087595840315469,322273280,71,0.0044014084507042,ml100k,1,,ml100k,popularity,none,1
train,popularity,0.2964327000008779,0.3125,0.3125,0.0,1.0542021848435563,322273280,1696,0.0001842570754716,ml100k,1,,ml100k,popularity,greedy_topk,1
rerank_setup,popularity,0.4123077000003832,0.40625,0.359375,0.046875,0.9853078174373712,322273280,4,0.1015625,ml100k,1,,ml100k,popularity,greedy_topk,1
retrieve_score,popularity,0.3073051999999734,0.3125,0.3125,0.0,1.0169043673846945,322273280,48,0.0065104166666666,ml100k,1,,ml100k,popularity,greedy_topk,1
retrieve_select,popularity,0.3153162999988126,0.3125,0.21875,0.09375,0.991068333610336,322273280,74,0.0042229729729729,ml100k,1,,ml100k,popularity,greedy_topk,1
rerank,popularity,0.3190830000021378,0.3125,0.265625,0.046875,0.979369004296394,322273280,18,0.0173611111111111,ml100k,1,,ml100k,popularity,greedy_topk,1
train,popularity,0.3064236999998684,0.3125,0.3125,0.0,1.0198297324917565,322273280,1946,0.0001605858170606,ml100k,1,,ml100k,popularity,mmr,1
rerank_setup,popularity,0.3771581000000878,0.375,0.296875,0.078125,0.994277996415595,322273280,4,0.09375,ml100k,1,,ml100k,popularity,mmr,1
retrieve_score,popularity,0.3314965999998094,0.3125,0.296875,0.015625,0.9426944348755903,322273280,55,0.0056818181818181,ml100k,1,,ml100k,popularity,mmr,1
retrieve_select,popularity,0.3105329999998503,0.3125,0.203125,0.109375,1.006334270432291,322273280,69,0.0045289855072463,ml100k,1,,ml100k,popularity,mmr,1
rerank,popularity,0.3534051999995427,0.34375,0.328125,0.015625,0.972679519148119,322273280,2,0.171875,ml100k,1,,ml100k,popularity,mmr,1
train,popularity,0.2988328999999794,0.3125,0.296875,0.015625,1.0457349240997946,322273280,1888,0.0001655190677966,ml100k,1,,ml100k,popularity,quota_mmr,1
rerank_setup,popularity,0.3633332999997947,0.359375,0.296875,0.0625,0.9891055953313476,322273280,4,0.08984375,ml100k,1,,ml100k,popularity,quota_mmr,1
retrieve_score,popularity,0.3128236999982619,0.3125,0.296875,0.015625,0.9989652318597866,322273280,52,0.0060096153846153,ml100k,1,,ml100k,popularity,quota_mmr,1
retrieve_select,popularity,0.3117457000007562,0.3125,0.265625,0.046875,1.0024196003320718,322273280,73,0.0042808219178082,ml100k,1,,ml100k,popularity,quota_mmr,1
rerank,popularity,0.3370858999987831,0.328125,0.328125,0.0,0.9734165683025736,322273280,3,0.109375,ml100k,1,,ml100k,popularity,quota_mmr,1
train,popularity,0.2975569000009272,0.3125,0.3125,0.0,1.0502193025906177,322273280,1854,0.0001685544768069,ml100k,1,,ml100k,popularity,balanced_quota,1
rerank_setup,popularity,0.3625987999985227,0.359375,0.296875,0.0625,0.9911091818325491,322273280,4,0.08984375,ml100k,1,,ml100k,popularity,balanced_quota,1
retrieve_score,popularity,0.3096875999981421,0.3125,0.28125,0.03125,1.0090814097880405,322273280,48,0.0065104166666666,ml100k,1,,ml100k,popularity,balanced_quota,1
retrieve_select,popularity,0.3919796999980462,0.3125,0.21875,0.09375,0.7972351629473607,322273280,73,0.0042808219178082,ml100k,1,,ml100k,popularity,balanced_quota,1
rerank,popularity,0.3458524999987276,0.34375,0.34375,0.0,0.9939208188498412,322273280,3,0.1145833333333333,ml100k,1,,ml100k,popularity,balanced_quota,1
train,popularity,0.31971970000086,0.3125,0.3125,0.0,0.9774186576528108,322273280,1885,0.0001657824933687,ml100k,1,,ml100k,popularity,qubo_feasible,1
rerank_setup,popularity,0.3759624999984226,0.375,0.265625,0.109375,0.997439904249954,322273280,4,0.09375,ml100k,1,,ml100k,popularity,qubo_feasible,1
retrieve_score,popularity,0.3130007999970985,0.3125,0.296875,0.015625,0.9984000040987014,322273280,50,0.00625,ml100k,1,,ml100k,popularity,qubo_feasible,1
retrieve_select,popularity,0.3168067000005976,0.3125,0.1875,0.125,0.9864059061863606,322273280,59,0.0052966101694915,ml100k,1,,ml100k,popularity,qubo_feasible,1
rerank,popularity,32.830445199997484,32.453125,32.421875,0.03125,0.9885070032496084,322273280,1,32.453125,ml100k,1,,ml100k,popularity,qubo_feasible,1
train,popularity,0.2983580000000074,0.3125,0.3125,0.0,1.047399432896025,322273280,1363,0.0002292736610418,ml100k,1,,ml100k,popularity,qubo_tabu,1
rerank_setup,popularity,0.3758808999991743,0.375,0.25,0.125,0.9976564385176896,322273280,3,0.125,ml100k,1,,ml100k,popularity,qubo_tabu,1
retrieve_score,popularity,0.3121903999999631,0.3125,0.265625,0.046875,1.0009917024996189,322273280,47,0.0066489361702127,ml100k,1,,ml100k,popularity,qubo_tabu,1
retrieve_select,popularity,0.3153876999967906,0.3125,0.21875,0.09375,0.9908439676093266,322273280,62,0.0050403225806451,ml100k,1,,ml100k,popularity,qubo_tabu,1
rerank,popularity,24.36568370000168,24.3125,24.296875,0.015625,0.9978172703603766,322273280,1,24.3125,ml100k,1,,ml100k,popularity,qubo_tabu,1
train,itemknn,0.3879671999966376,0.390625,0.34375,0.046875,1.0068505791298474,322273280,2,0.1953125,ml100k,1,,ml100k,itemknn,none,1
retrieve_score,itemknn,0.3137824000004912,0.3125,0.3125,0.0,0.9959130913636672,322273280,24,0.0130208333333333,ml100k,1,,ml100k,itemknn,none,1
retrieve_select,itemknn,0.3036066999993636,0.3125,0.234375,0.078125,1.0292921730668494,322273280,72,0.0043402777777777,ml100k,1,,ml100k,itemknn,none,1
train,itemknn,0.3948961999994935,0.40625,0.375,0.03125,1.028751352888483,322273280,2,0.203125,ml100k,1,,ml100k,itemknn,greedy_topk,1
rerank_setup,itemknn,0.3681823000006261,0.359375,0.3125,0.046875,0.9760789695740096,322273280,4,0.08984375,ml100k,1,,ml100k,itemknn,greedy_topk,1
retrieve_score,itemknn,0.3099815000023227,0.3125,0.28125,0.03125,1.0081246784006737,322273280,23,0.0135869565217391,ml100k,1,,ml100k,itemknn,greedy_topk,1
retrieve_select,itemknn,0.3025462000005063,0.3125,0.234375,0.078125,1.0329000992227864,322273280,59,0.0052966101694915,ml100k,1,,ml100k,itemknn,greedy_topk,1
rerank,itemknn,0.3655446999982814,0.328125,0.328125,0.0,0.8976330391373275,322273280,14,0.0234375,ml100k,1,,ml100k,itemknn,greedy_topk,1
train,itemknn,0.4180062000014004,0.421875,0.359375,0.0625,1.0092553651084282,322273280,2,0.2109375,ml100k,1,,ml100k,itemknn,mmr,1
rerank_setup,itemknn,0.3815467999993416,0.390625,0.328125,0.0625,1.0237931493611638,322273280,4,0.09765625,ml100k,1,,ml100k,itemknn,mmr,1
retrieve_score,itemknn,0.3213112999983423,0.3125,0.25,0.0625,0.9725770615649442,322273280,21,0.0148809523809523,ml100k,1,,ml100k,itemknn,mmr,1
retrieve_select,itemknn,0.3071410999982618,0.3125,0.234375,0.078125,1.017447681218074,322273280,65,0.0048076923076923,ml100k,1,,ml100k,itemknn,mmr,1
rerank,itemknn,0.5068358999997145,0.484375,0.484375,0.0,0.9556840784172408,322273280,2,0.2421875,ml100k,1,,ml100k,itemknn,mmr,1
train,itemknn,0.4301231999997981,0.421875,0.375,0.046875,0.9808236337872452,322273280,2,0.2109375,ml100k,1,,ml100k,itemknn,quota_mmr,1
rerank_setup,itemknn,0.4072197999994387,0.40625,0.328125,0.078125,0.9976184851536196,322273280,4,0.1015625,ml100k,1,,ml100k,itemknn,quota_mmr,1
retrieve_score,itemknn,0.311597800002346,0.3125,0.296875,0.015625,1.0028953991255625,322273280,21,0.0148809523809523,ml100k,1,,ml100k,itemknn,quota_mmr,1
retrieve_select,itemknn,0.3140375000002677,0.3125,0.25,0.0625,0.9951040878867446,322273280,73,0.0042808219178082,ml100k,1,,ml100k,itemknn,quota_mmr,1
rerank,itemknn,0.357434599998669,0.359375,0.359375,0.0,1.0054286854192018,322273280,3,0.1197916666666666,ml100k,1,,ml100k,itemknn,quota_mmr,1
train,itemknn,0.3970521000010194,0.40625,0.375,0.03125,1.0231654737475433,322273280,2,0.203125,ml100k,1,,ml100k,itemknn,balanced_quota,1
rerank_setup,itemknn,0.3843163999990793,0.375,0.296875,0.078125,0.9757585156420552,322273280,4,0.09375,ml100k,1,,ml100k,itemknn,balanced_quota,1
retrieve_score,itemknn,0.3033289999984845,0.3125,0.3125,0.0,1.030234497860611,322273280,21,0.0148809523809523,ml100k,1,,ml100k,itemknn,balanced_quota,1
retrieve_select,itemknn,0.3125903000000107,0.3125,0.234375,0.078125,0.9997111234737266,322273280,63,0.0049603174603174,ml100k,1,,ml100k,itemknn,balanced_quota,1
rerank,itemknn,0.4132385999982944,0.40625,0.40625,0.0,0.9830882207075446,322273280,3,0.1354166666666666,ml100k,1,,ml100k,itemknn,balanced_quota,1
train,itemknn,0.4025301000001491,0.390625,0.34375,0.046875,0.9704243235471218,322273280,2,0.1953125,ml100k,1,,ml100k,itemknn,qubo_feasible,1
rerank_setup,itemknn,0.3184346000016376,0.328125,0.28125,0.046875,1.030431366435408,322273280,3,0.109375,ml100k,1,,ml100k,itemknn,qubo_feasible,1
retrieve_score,itemknn,0.31546580000213,0.3125,0.28125,0.03125,0.990598663937232,322273280,21,0.0148809523809523,ml100k,1,,ml100k,itemknn,qubo_feasible,1
retrieve_select,itemknn,0.3545168999989982,0.3125,0.21875,0.09375,0.8814812495564612,322273280,60,0.0052083333333333,ml100k,1,,ml100k,itemknn,qubo_feasible,1
rerank,itemknn,32.44825249999849,32.21875,32.21875,0.0,0.9929271229629856,322273280,1,32.21875,ml100k,1,,ml100k,itemknn,qubo_feasible,1
train,itemknn,0.406707500002085,0.40625,0.328125,0.078125,0.9988751129446036,322273280,2,0.203125,ml100k,1,,ml100k,itemknn,qubo_tabu,1
rerank_setup,itemknn,0.3982034000000567,0.390625,0.3125,0.078125,0.9809685201079256,322273280,4,0.09765625,ml100k,1,,ml100k,itemknn,qubo_tabu,1
retrieve_score,itemknn,0.305720400003338,0.3125,0.3125,0.0,1.0221758181547191,322273280,21,0.0148809523809523,ml100k,1,,ml100k,itemknn,qubo_tabu,1
retrieve_select,itemknn,0.3089053999974567,0.3125,0.21875,0.09375,1.0116365722404752,322273280,69,0.0045289855072463,ml100k,1,,ml100k,itemknn,qubo_tabu,1
rerank,itemknn,24.82850289999988,24.4375,24.4375,0.0,0.9842518535420888,322273280,1,24.4375,ml100k,1,,ml100k,itemknn,qubo_tabu,1
train,als,3.66033470000184,3.671875,3.671875,0.0,1.0031527991137406,322273280,1,3.671875,ml100k,1,,ml100k,als,none,1
retrieve_score,als,0.3183695999978226,0.3125,0.3125,0.0,0.9815635663773714,322273280,44,0.0071022727272727,ml100k,1,,ml100k,als,none,1
