dataset,family,reranker,n_users,n_candidates,k,cpu_train,wall_train,cpu_rerank_setup,wall_rerank_setup,cpu_retrieve_score,wall_retrieve_score,cpu_retrieve_select,wall_retrieve_select,cpu_rerank,wall_rerank,cpu_once,cpu_per_request,ndcg,ndcg_vs_retrieval,recall,exposure_parity,catalogue_coverage,gini,candidate_hit_rate,note.seed,note.lam,note.mu,repeat,status,error,below_quantum,n_items,n_train_users,density,trustworthy,busy_pct_at_start,intra_list_similarity,note.time_bounded_reranker
ml100k,itemknn,mmr,100,100,10,0.1953125,0.3891780999983893,0.08984375,0.3588955999948666,0.0148809523809523,0.3250528999997186,0.0040584415584415,0.3130366999976104,0.1796875,0.3627455999958329,0.28515625,0.0019862689393939,0.0629389997978768,0.9687455849575328,0.14,1.0179999999999998,0.123054114158636,0.9358769458858414,0.49,2,0.3,1.0,2,ok,,,1349,943,0.0773079623019132,True,5.6,0.3964857374131454,
ml100k,itemknn,quota_mmr,100,100,10,0.1953125,0.3931368000048678,0.08984375,0.361727499999688,0.0173611111111111,0.3115594999981113,0.0042229729729729,0.3105187000037404,0.1197916666666666,0.3630781000028946,0.28515625,0.0014137575075075,0.0522762573377905,0.8880251592942129,0.1,0.25,0.1148999258710155,0.9465174203113418,0.49,2,0.3,1.0,2,ok,,,1349,943,0.0773079623019132,True,5.6,0.3527420058372169,
ml100k,itemknn,qubo_feasible,100,100,10,0.2109375,0.4141757999968831,0.09375,0.3789302000004682,0.0142045454545454,0.3188540999981342,0.0047348484848484,0.3010905000046477,31.90625,32.03451150000183,0.3046875,0.3192518939393939,0.0502706669397008,0.7643553431523356,0.09,0.1999999999999999,0.1549295774647887,0.9244877687175684,0.49,2,0.3,1.0,2,ok,,,1349,943,0.0773079623019132,True,5.6,0.2812864770148011,
ml100k,itemknn,qubo_tabu,100,100,10,0.1953125,0.3944167999943602,0.09375,0.3658893000028911,0.0142045454545454,0.3175260999996681,0.0041666666666666,0.3063305000032414,25.40625,25.889253900000767,0.2890625,0.2542462121212121,0.0618880738016728,0.7947585703620084,0.13,0.1999999999999999,0.1363973313565604,0.9356842105263158,0.49,2,0.3,1.0,2,ok,,,1349,943,0.0773079623019132,True,5.6,0.2849005950945593,True
ml100k,als,none,100,100,10,6.75,5.018832000001567,0.0,0.0,0.0071022727272727,0.3016084000046248,0.0042229729729729,0.3106488999983412,0.0,0.0,6.75,0.0001132524570024,0.0614407017777783,1.0,0.16,0.8320000000000002,0.3335804299481097,0.8010748702742773,0.56,2,0.3,1.0,2,ok,,,1349,943,0.0773079623019132,True,5.6,,
ml100k,als,greedy_topk,100,100,10,6.421875,5.268978700005391,0.09375,0.3620000000009895,0.0138888888888888,0.1760941999964416,0.0041666666666666,0.3097674000018742,0.0205078125,0.3261664000019664,6.515625,0.0003856336805555,0.0614407017777783,1.0,0.16,0.8320000000000002,0.3335804299481097,0.8010748702742773,0.56,2,0.3,1.0,2,ok,,,1349,943,0.0773079623019132,True,5.6,0.2238691387467309,
ml100k,als,mmr,100,100,10,5.953125,4.822225599993544,0.08984375,0.3588531999994302,0.01953125,0.1044003999995766,0.0041666666666666,0.3103415999939898,0.1796875,0.3666230000017094,6.04296875,0.0020338541666666,0.0425178030931012,0.972218555548804,0.11,0.7730000000000001,0.3958487768717568,0.7352809488510007,0.56,2,0.3,1.0,2,ok,,,1349,943,0.0773079623019132,True,5.6,0.1373955883702936,
ml100k,als,quota_mmr,100,100,10,6.171875,4.746936699993967,0.08984375,0.3598787000009906,0.0080128205128205,0.2528106000027037,0.0041118421052631,0.3074524999974528,0.1354166666666666,0.4370559999952093,6.26171875,0.0014754132928475,0.0341170525378983,0.944569686117443,0.08,0.2419999999999999,0.3513713862120089,0.7809014084507042,0.56,2,0.3,1.0,2,ok,,,1349,943,0.0773079623019132,True,5.6,0.1329039436142383,
ml100k,als,qubo_feasible,100,100,10,6.15625,5.350575300006312,0.09765625,0.3889376999941305,0.0111607142857142,0.2414509000009275,0.0049603174603174,0.3083843999993405,33.265625,33.40060860000085,6.25390625,0.3328174603174603,0.0148713694067947,0.8883886867885472,0.03,0.1999999999999999,0.385470719051149,0.7482787249814677,0.56,2,0.3,1.0,2,ok,,,1349,943,0.0773079623019132,True,5.6,0.1012284149944892,
ml100k,als,qubo_tabu,100,100,10,6.796875,5.757551300004707,0.09765625,0.389740200000233,0.01875,0.1680571000033524,0.005040322580645161,0.3091130999964662,24.28125,24.364647599999444,6.89453125,0.24305040322580646,0.04125277111811907,0.9136746661764157,0.08,0.19999999999999996,0.37064492216456635,0.7622253521126761,0.56,2,0.3,1.0,2,ok,,,1349,943,0.07730796230191328,True,5.6,0.09978909803098666,True
