dataset,family,reranker,n_users,n_candidates,k,cpu_train,wall_train,cpu_rerank_setup,wall_rerank_setup,cpu_retrieve_score,wall_retrieve_score,cpu_retrieve_select,wall_retrieve_select,cpu_rerank,wall_rerank,cpu_once,cpu_per_request,ndcg,ndcg_vs_retrieval,recall,exposure_parity,catalogue_coverage,gini,candidate_hit_rate,note.seed,note.lam,note.mu,repeat,n_candidates_requested,status,error,below_quantum,n_items,n_train_users,density,trustworthy,busy_pct_at_start,intra_list_similarity,note.n_candidates_requested,note.n_candidates_capped_by,note.n_candidates_kept_fraction
ml100k,als,quota_mmr,200,50,10,5.84375,4.7698508000030415,0.08984375,0.3578850999983842,0.0208333333333333,0.1911822999973083,0.0072674418604651,0.3145019000003231,0.1354166666666666,0.4163805999996839,5.93359375,0.0008175872093023,0.0596106820717359,0.9704459396309644,0.135,0.2679999999999999,0.4403261675315048,0.7720326167531505,0.4,0,0.3,1.0,0,50,ok,,,1349,943,0.0773079623019132,True,2.3,0.1770866692384824,,,
ml100k,als,quota_mmr,200,100,10,5.890625,4.731781399997999,0.08984375,0.3565381000007619,0.01953125,0.2044144000028609,0.0084459459459459,0.3054153000048245,0.3046875,0.6201843999951961,5.98046875,0.0016633234797297,0.0494588050540856,0.9671508266110764,0.11,0.2579999999999999,0.4366197183098591,0.7719962935507784,0.525,0,0.3,1.0,0,100,ok,,,1349,943,0.0773079623019132,True,2.3,0.1705541031721424,,,
ml100k,als,quota_mmr,200,200,10,5.8125,4.907457400004205,0.09375,0.3773924999986775,0.0193014705882352,0.2207852999999886,0.0120192307692307,0.3020867000013822,0.703125,0.7036669999943115,5.90625,0.0036722285067873,0.0517396862998914,0.964975935286848,0.115,0.259,0.4425500370644922,0.7655626389918458,0.66,0,0.3,1.0,0,200,ok,,,1349,943,0.0773079623019132,True,2.3,0.1629444513781293,,,
ml100k,als,quota_mmr,200,400,10,5.953125,4.874209299996437,0.09375,0.3831781000044429,0.0180921052631578,0.2468986999956541,0.015625,0.3111530000023776,1.609375,1.612611399999878,6.046875,0.0082154605263157,0.0515864581992588,0.9627678545453788,0.115,0.256,0.4536693847294292,0.7588450704225352,0.84,0,0.3,1.0,0,400,ok,,,1349,943,0.0773079623019132,True,2.3,0.1563236592623882,,,
ml100k,als,quota_mmr,200,800,10,5.640625,4.7806636999957846,0.08984375,0.3602788000061991,0.0130208333333333,0.3074549000011757,0.0223214285714285,0.3120257999980822,4.0,3.995550300001924,5.73046875,0.0201767113095238,0.051805576953453,0.9600978906882148,0.115,0.2535,0.4603409933283914,0.7523498888065233,0.93,0,0.3,1.0,0,800,ok,,,1349,943,0.0773079623019132,True,2.3,0.1504927658377796,,,
ml100k,popularity,none,200,50,10,0.0001648206751054,0.3098129999998491,0.0,0.0,0.0111607142857142,0.3219253999995999,0.0074404761904761,0.3067020000016782,0.0,0.0,0.0001648206751054,9.300595238095238e-05,0.0425863760254837,1.0,0.1,1.1855000000000002,0.0496664195700518,0.9822001482579688,0.19,1,0.3,1.0,1,50,ok,,,1349,943,0.0773079623019132,True,2.3,,,,
ml100k,popularity,none,200,100,10,0.0001620850622406,0.3052182999963406,0.0,0.0,0.011574074074074,0.3150251000042772,0.0080128205128205,0.3153702999989036,0.0,0.0,0.0001620850622406,9.793447293447292e-05,0.0425863760254837,1.0,0.1,1.1855000000000002,0.0496664195700518,0.9822001482579688,0.305,1,0.3,1.0,1,100,ok,,,1349,943,0.0773079623019132,True,2.3,,,,
ml100k,popularity,none,200,200,10,0.0001653439153439,0.2980946000025142,0.0,0.0,0.0111607142857142,0.3225158000059309,0.0107758620689655,0.3107356999971671,0.0,0.0,0.0001653439153439,0.0001096828817733,0.0425863760254837,1.0,0.1,1.1855000000000002,0.0496664195700518,0.9822001482579688,0.45,1,0.3,1.0,1,200,ok,,,1349,943,0.0773079623019132,True,2.3,,,,
ml100k,popularity,none,200,400,10,0.0001613319566339,0.307959400000982,0.0,0.0,0.0111607142857142,0.3214472999970894,0.0142045454545454,0.3148539000030723,0.0,0.0,0.0001613319566339,0.0001268262987012,0.0425863760254837,1.0,0.1,1.1855000000000002,0.0496664195700518,0.9822001482579688,0.665,1,0.3,1.0,1,400,ok,,,1349,943,0.0773079623019132,True,2.3,,,,
ml100k,popularity,none,200,729,10,0.0001527370478983,0.3278627999970922,0.0,0.0,0.0111607142857142,0.3221167000010609,0.01953125,0.3098112000006949,0.0,0.0,0.0001527370478983,0.0001534598214285,0.0425863760254837,1.0,0.1,1.1855000000000002,0.0496664195700518,0.9822001482579688,0.835,1,0.3,1.0,1,800,ok,,,1349,943,0.0773079623019132,True,2.3,,800.0,user history in a small catalogue,0.91125
