dataset,family,reranker,repeat,n_users,n_candidates,k,cpu_train,wall_train,cpu_rerank_setup,wall_rerank_setup,cpu_retrieve_score,wall_retrieve_score,cpu_retrieve_select,wall_retrieve_select,cpu_rerank,wall_rerank,cpu_once,cpu_per_request,ndcg,ndcg_vs_retrieval,recall,exposure_parity,catalogue_coverage,gini,candidate_hit_rate,note.seed,note.lam,note.mu,note.n_candidates_requested,note.n_candidates_capped_by,status,error,below_quantum,n_items,n_train_users,density,trustworthy,busy_pct_at_start,intra_list_similarity
digital_music,popularity,quota_mmr,2,200,200,10,0.000365925058548,0.298446600000716,0.15625,0.3186691000000792,0.0164473684210526,0.334267500000351,0.0625,0.311885699999948,1.296875,1.2918263999999908,0.156615925058548,0.0068791118421052,0.0015773243839286,0.9950843174689936,0.005,0.0,0.0011537096201632,0.9991016151934682,0.065,2,0.3,1.0,,,ok,,,11268,16252,0.0006986333284143,True,13.3,0.0169852667143366
digital_music,itemknn,none,2,200,200,10,0.375,0.3708770000002914,0.0,0.0,0.0284090909090909,0.3213951999996425,0.065625,0.3252299999994648,0.0,0.0,0.375,0.0004701704545454,0.0404072668048652,1.0,0.065,1.137,0.0983315583954561,0.9404732871849484,0.24,2,0.3,1.0,,,ok,,,11268,16252,0.0006986333284143,True,13.3,
digital_music,itemknn,quota_mmr,2,200,200,10,0.390625,0.38792629999989,0.15625,0.314458700000614,0.02734375,0.3293364999999539,0.065625,0.3280290000002424,0.71875,0.7177935999998226,0.546875,0.00405859375,0.0401284544077037,0.846479620358327,0.065,0.265,0.1322328718494852,0.8980181043663472,0.24,2,0.3,1.0,,,ok,,,11268,16252,0.0006986333284143,True,13.3,0.0116063865998921
digital_music,als,none,2,200,200,10,38.3125,38.44478320000053,0.0,0.0,0.065625,0.1575775999999678,0.08203125,0.3219355000001087,0.0,0.0,38.3125,0.0007382812499999,0.0274938008957735,1.0,0.065,1.3503333333333336,0.0779197728079517,0.9541578807241746,0.26,2,0.3,1.0,,,ok,,,11268,16252,0.0006986333284143,True,13.3,
digital_music,als,quota_mmr,2,200,200,10,41.296875,41.31074609999996,0.1640625,0.3331853999998202,0.0859375,0.1229553000002852,0.06875,0.3481504999999742,0.671875,0.6668966999995973,41.4609375,0.0041328125,0.0296887081245189,0.8448658263937685,0.065,0.2811666666666666,0.1241569045083422,0.9067166311679092,0.26,2,0.3,1.0,,,ok,,,11268,16252,0.0006986333284143,True,13.3,0.0051493802258694
gift_cards,popularity,none,3,200,120,10,9.701955914312326e-05,0.3061265999995157,0.0,0.0,0.0120192307692307,0.3164124000004449,0.0026939655172413,0.3084764999994149,0.0,0.0,9.701955914312326e-05,7.356598143236075e-05,0.072913936053882,1.0,0.145,1.5,0.1360544217687075,0.9193605442176872,0.88,3,0.3,1.0,200.0,user history in a small catalogue,ok,,,147,456,0.037265783506385,True,13.3,
gift_cards,popularity,quota_mmr,3,200,120,10,0.0001009041007426,0.3015448000005563,0.0006044487427466,0.3117615000001024,0.0135869565217391,0.3225155000000086,0.0029205607476635,0.3029168000002755,0.375,0.3796154000001479,0.0007053528434892,0.001957537586347,0.0496033425585807,0.6339171096040349,0.08,0.2994999999999999,0.4217687074829932,0.8882380952380953,0.88,3,0.3,1.0,200.0,user history in a small catalogue,ok,,,147,456,0.037265783506385,True,13.3,0.0081638047706824
gift_cards,itemknn,none,3,200,120,10,0.0026483050847457,0.3045531999996456,0.0,0.0,0.0130208333333333,0.3174747999992178,0.0030339805825242,0.3056866000006266,0.0,0.0,0.0026483050847457,8.027406957928803e-05,0.17145663191748,1.0,0.335,1.372,0.4625850340136054,0.8137891156462586,0.965,3,0.3,1.0,200.0,user history in a small catalogue,ok,,,147,456,0.037265783506385,True,13.3,
gift_cards,itemknn,quota_mmr,3,200,120,10,0.0030339805825242,0.3151441999998496,0.0006067961165048,0.3096568000000843,0.0120192307692307,0.3178939999997965,0.003063725490196,0.3093237999992198,0.453125,0.4536666000003606,0.0036407766990291,0.0023410397812971,0.1244312782927225,0.7180462399326611,0.215,0.2659999999999999,0.979591836734694,0.404047619047619,0.965,3,0.3,1.0,200.0,user history in a small catalogue,ok,,,147,456,0.037265783506385,True,13.3,0.0108615959229358
gift_cards,als,none,3,200,120,10,0.734375,0.7527984999996988,0.0,0.0,0.0135869565217391,0.289856399999735,0.0027901785714285,0.3058450999997149,0.0,0.0,0.734375,8.18856754658385e-05,0.0552231678095526,1.0,0.14,0.4935,0.9863945578231292,0.2505238095238095,0.85,3,0.3,1.0,200.0,user history in a small catalogue,ok,,,147,456,0.037265783506385,True,13.3,
gift_cards,als,quota_mmr,3,200,120,10,0.75,0.7552854999994452,0.0005852059925093,0.3068547999992006,0.0130208333333333,0.3047376999993503,0.0030048076923076,0.3064494000000195,0.453125,0.4530439000000115,0.7505852059925093,0.0023457532051282,0.0511583241882654,0.9772759594453418,0.13,0.2609999999999999,0.979591836734694,0.2672244897959183,0.85,3,0.3,1.0,200.0,user history in a small catalogue,ok,,,147,456,0.037265783506385,True,13.3,0.0025670201483529
software,popularity,none,3,200,200,10,0.0001343508168529,0.3034292000002097,0.0,0.0,0.0135869565217391,0.3134393000000273,0.0067934782608695,0.3172838000000411,0.0,0.0,0.0001343508168529,0.000101902173913,0.0015051499783199,1.0,0.005,1.0,0.0192572214580467,0.9850962861072904,0.3,3,0.3,1.0,,,ok,,,727,1779,0.0077884040691763,True,13.3,
software,popularity,quota_mmr,3,200,200,10,0.0001158694846125,0.2976357999996253,0.0094696969696969,0.3206313000000591,0.0125,0.3105782000002364,0.0071022727272727,0.3131489000006695,0.609375,0.6159204000005047,0.0095855664543095,0.0031448863636363,0.0014453241315894,0.5962763512113853,0.005,0.0,0.0330123796423658,0.9837496561210454,0.3,3,0.3,1.0,,,ok,,,727,1779,0.0077884040691763,True,13.3,0.0035558704522336
software,itemknn,none,3,200,200,10,0.021875,0.3377674000003026,0.0,0.0,0.0120192307692307,0.3188548999996783,0.0071022727272727,0.3065458999999464,0.0,0.0,0.021875,9.560751748251748e-05,0.0565624436549027,1.0,0.115,0.9270000000000002,0.5268225584594223,0.7688541953232462,0.58,3,0.3,1.0,,,ok,,,727,1779,0.0077884040691763,True,13.3,
software,itemknn,quota_mmr,3,200,200,10,0.0223214285714285,0.3136193000000276,0.009765625,0.3027554000000236,0.0120192307692307,0.3357206999999107,0.0072674418604651,0.3033644999995886,0.65625,0.6696160000001328,0.0320870535714285,0.0033776833631484,0.059531135758052,0.8929621926892131,0.115,0.2684999999999999,0.7510316368638239,0.6003411279229711,0.58,3,0.3,1.0,,,ok,,,727,1779,0.0077884040691763,True,13.3,0.005634666834675
software,als,none,3,200,200,10,2.828125,2.818622800000412,0.0,0.0,0.0135869565217391,0.3002589000006992,0.0071022727272727,0.3305114999993748,0.0,0.0,2.828125,0.000103446146245,0.0875375677403071,1.0,0.175,0.65,0.7867950481430537,0.5607386519944979,0.52,3,0.3,1.0,,,ok,,,727,1779,0.0077884040691763,True,13.3,
software,als,quota_mmr,3,200,200,10,2.71875,2.695235800000773,0.0094696969696969,0.3045679999995627,0.015625,0.2338611000004675,0.0071022727272727,0.3106004999999641,0.6875,0.6862611999995352,2.728219696969697,0.0035511363636363,0.0778772184259785,0.9586895661071292,0.155,0.2535,0.8500687757909215,0.4884883081155433,0.52,3,0.3,1.0,,,ok,,,727,1779,0.0077884040691763,True,13.3,0.0038199231246342
ml100k,popularity,none,3,200,200,10,0.0001955569461827,0.3258617999999842,0.0,0.0,0.0125,0.3157010000004447,0.0104166666666666,0.3131819000000178,0.0,0.0,0.0001955569461827,0.0001145833333333,0.0513356316230939,1.0,0.1,1.1820000000000002,0.0541141586360266,0.9821186063750926,0.48,3,0.3,1.0,,,ok,,,1349,943,0.0773079623019132,True,13.3,
